
Configuracao com 5 neuronios =============================================
Run: 9 - Acuracia: 0.9333333333333333
Run: 10 - Acuracia: 0.9
Configuracao com 65 neuronios =============================================
Run: 1 - Acuracia: 0.8666666666666667
Run: 2 - Acuracia: 0.9
Run: 3 - Acuracia: 0.8666666666666667
Run: 4 - Acuracia: 0.8333333333333334
Run: 5 - Acuracia: 0.8
Run: 6 - Acuracia: 0.9333333333333333
Run: 7 - Acuracia: 0.8666666666666667
Run: 8 - Acuracia: 0.8333333333333334
Run: 9 - Acuracia: 0.8333333333333334
Run: 10 - Acuracia: 0.8333333333333334
Configuracao com 75 neuronios =============================================
Run: 1 - Acuracia: 0.8333333333333334
Run: 2 - Acuracia: 0.8666666666666667
Run: 3 - Acuracia: 0.9
Run: 4 - Acuracia: 0.7666666666666667
Run: 5 - Acuracia: 0.8
Run: 6 - Acuracia: 0.8
Run: 7 - Acuracia: 0.6333333333333333
Run: 8 - Acuracia: 0.8666666666666667
Run: 9 - Acuracia: 0.9
Run: 10 - Acuracia: 0.8
Configuracao com 85 neuronios =============================================
Run: 1 - Acuracia: 0.7
Run: 2 - Acuracia: 0.7666666666666667
Run: 3 - Acuracia: 0.7333333333333333
Run: 4 - Acuracia: 0.7666666666666667
Run: 5 - Acuracia: 0.7666666666666667
Run: 6 - Acuracia: 0.7333333333333333
Run: 7 - Acuracia: 0.6666666666666666
Run: 8 - Acuracia: 0.6666666666666666
Run: 9 - Acuracia: 0.7333333333333333
Run: 10 - Acuracia: 0.7
Configuracao com 95 neuronios =============================================
Run: 1 - Acuracia: 0.7666666666666667
Run: 2 - Acuracia: 0.6333333333333333
Run: 3 - Acuracia: 0.8333333333333334
Run: 4 - Acuracia: 0.7333333333333333
Run: 5 - Acuracia: 0.7333333333333333
